Post title,Post link,Created date,Impressions,Views,Click through rate (CTR),Engagement rate,Count
"Governor Glenn Youngkin celebrated the opening of CNX Resources' new regional headquarters in Richlands, VA! The new facility reinforces Virginia's leadership in an all-American, all-of-the-above energy approach while driving innovation and economic growth in southwest Virginia.

Read more at https://lnkd.in/enR6kAUj",https://www.linkedin.com/feed/update/urn:li:activity:7241536987063554049,09/16/2024,5079,,6.7%,8.9%,1
"This September, Dominion Energy customer bills will begin to include an additional fee covering $5.5 billion in state-mandated costs. The Virginia Clean Economy Act (VCEA) requires Dominion to meet renewable energy targets, with most of these costs covering renewable energy credit (REC) purchases. The SCC allows these compliance costs to be passed directly to customers.

In a recent op-ed, Virginia Energy Director Glenn Davis asks an important question: five years into Virginia’s renewable energy overhaul, are we actually better off? Read more at https://lnkd.in/eq-fMUgN",https://www.linkedin.com/feed/update/urn:li:activity:7364280391257452545,08/21/2025,889,,7.6%,8.9%,1
"A new report out of Stanford Energy confirms what Virginia's energy strategy already recognizes: natural gas is critical to ensuring reliability when demand surges. With Virginia's unprecedented growth in energy demand, this flexibility remains essential to our energy security and economic growth.

Read the full report at https://lnkd.in/gQx6qKEp

Stanford Doerr School of Sustainability",https://www.linkedin.com/feed/update/urn:li:activity:7315441819742289920,04/08/2025,699,,6.6%,8.9%,1
"This #VeteransDay, Virginia Energy is proud to honor our staff members who have served in the U.S. Armed Forces. We extend our deepest gratitude for their service, sacrifice, and commitment to our country and communities. Thank you!",https://www.linkedin.com/feed/update/urn:li:activity:7261740250899656705,11/11/2024,544,,3.9%,8.8%,1
"Congratulations to Virginia Tech on securing a $1.3 million grant from the Appalachian Regional Commission (ARC) to create a premier hydrogen innovation hub in Southwest Virginia! The team is pioneering clean hydrogen production through catalytic methane decomposition—transforming the region's abundant natural gas resources into economic opportunity. This is the type of forward-thinking, innovative research that keeps Virginia at the forefront of energy, technology, and opportunity.

https://lnkd.in/gqekc3rz",https://www.linkedin.com/feed/update/urn:li:activity:7316822759693586434,04/12/2025,885,,5.0%,8.8%,1
"Natural gas will remain a cornerstone of reliable and affordable energy, ensuring our thriving businesses and growing communities have the power they need to support their continued growth. Virginia's commitment to energy stability aligns with the bipartisan understanding—spanning across presidential administrations—that natural gas is essential as energy demand reaches new heights.

Learn more at https://lnkd.in/ezNKgaXf",https://www.linkedin.com/feed/update/urn:li:activity:7289719128825692162,01/27/2025,250,,3.6%,8.8%,1
"Energy leaders from across Virginia gathered in Richmond this week for the 2025 Virginia Energy Summit to discuss the Commonwealth’s most pressing energy challenges. From nuclear innovation to permitting reform and infrastructure resilience, every session focused on delivering real results for Virginia’s families, businesses, and future.


Thank you to the Virginia Manufacturers Association and to all the experts, partners, and attendees who made this year’s summit a success. See you next year!
",https://www.linkedin.com/feed/update/urn:li:activity:7344424746387730435,06/27/2025,936,,5.0%,8.8%,1
"Virginia’s rich geology provides essential mineral and energy resources that fuel economic growth and innovation at home and abroad. These resources not only support jobs and industry but also generate revenue for communities and create new business opportunities. From mining to energy production, Virginia’s natural resources have long been a cornerstone of our economy—and they remain critical to our future.

Learn more at https://ow.ly/6LOg50V0quR",https://www.linkedin.com/feed/update/urn:li:activity:7296544064479383552,02/15/2025,2052,,5.9%,8.7%,1
"Nuclear energy will play a critical role in Virginia's increasingly clean energy future. However, according to the U.S. Department of Energy (DOE) ""to avoid the cost of a delay in advanced nuclear deployment, the industry will need to begin deploying nuclear by 2030."" Virginia is leading the way by exploring new nuclear infrastructure opportunities now, helping to ensure that our clean energy future doesn't place an unnecessary burden on ratepayers.

More at https://lnkd.in/gbnik7Uz",https://www.linkedin.com/feed/update/urn:li:activity:7247969327973380097,10/04/2024,736,,3.4%,8.7%,1
"Virginia's $156 million Solar for All program will expand access to residential solar installations in low-income and disadvantaged communities throughout the Commonwealth. Join us for a webinar this Thursday at noon as we kick off the initiative with an opportunity for stakeholder engagement. The webinar will cover Virginia Energy's work plan, the implementation timeline for the program, and opportunities for stakeholder engagement and feedback.

Registration is required: https://ow.ly/AeX550TQPFx",https://www.linkedin.com/feed/update/urn:li:activity:7254522775225221121,10/22/2024,782,,5.0%,8.6%,1
"Virginia's leadership and progress toward deploying SMRs was center stage at the U.S. Department of Energy (DOE)'s 2nd annual Deploy24 conference this morning! Virginia Energy Director Glenn Davis joined Richard Springman, Ph.D. of Holtec International, Rian Bahran, Ph.D.  from The White House Office of Science & Technology Policy, and Minwoo Han of Hyundai Engineering & Construction Co.,Ltd. in an illuminating discussion on Enabling Small Modular Reactor Liftoff. The panel explored the potential of SMRs to meet the surging electricity demand driven by AI and data centers, highlighting their potential for scalability and their potential for rapid deployment, addressing the growing need for clean, firm power in Virginia's booming tech sector.

#deploy24 #SMR #nuclear #energy #innovation #deploy24
",https://www.linkedin.com/feed/update/urn:li:activity:7270518603991367681,12/05/2024,1973,,5.3%,8.6%,1
"Virginia Energy’s Mine Rescue Team brought home the gold at this week’s Harlan County Safety Days Mine Rescue Contest! Congratulations to all the teams who competed and collaborated to advance safety across the mining community.
",https://www.linkedin.com/feed/update/urn:li:activity:7352321488865140736,07/19/2025,269,,6.7%,8.6%,1
"Natural gas isn’t just a bridge fuel, it's a pillar of Virginia's strategy for a reliable, affordable, and increasingly clean energy future. Its ability to deliver power on demand keeps homes warm, businesses running, and critical services online.

With innovations in carbon capture and other technologies, investments in natural gas will drive emissions reductions even further, while leveraging existing infrastructure to keep power reliable and affordable for decades to come.

#EnergySecurity #NaturalGas #AllOfTheAbove#Energy #Innovation",https://www.linkedin.com/feed/update/urn:li:activity:7360677208358617088,08/11/2025,515,,5.2%,8.5%,1
"Commonwealth Fusion Systems's latest milestone is an important step toward building the world’s first commercial fusion reactor in #ChesterfieldCounty. This achievement moves Virginia closer to delivering virtually limitless, carbon-free power and showcases how the Virginia Clean Energy Innovation Bank, which provided early funding support for the project, is helping attract transformative energy innovation to the Commonwealth.

https://lnkd.in/gyn5QnYF

#FusionEnergy #fusionpower #energy #innovation #EnergyLeadership ",https://www.linkedin.com/feed/update/urn:li:activity:7312081350704947200,03/30/2025,425,,4.9%,8.5%,1
"""VCEA's rigid ideology will cost Virginia families $5.5 billion in avoidable costs over the next 10 years."" Virginia Energy Director Glenn Davis explains how VCEA's renewable tunnel vision is jeopardizing Virginia's energy future—and why a technology-neutral approach that champions all clean energy sources, not just solar and wind, is needed to achieve our affordability, reliability, and emissions reduction goals. 

Read his full take: https://lnkd.in/eywRucrR",https://www.linkedin.com/feed/update/urn:li:activity:7320440437905780736,04/22/2025,2166,,6.8%,8.4%,1
"Virginia is the #1 state for business, the data center capital of the world, and is now recognized as ""Silicon Valley East."" We are working to strengthen our world-class energy infrastructure to stand ready to support whatever economic opportunities come next. By investing in nuclear, natural gas, and other reliable, affordable, and clean technologies, we can build the foundation for future innovation and ensuring Virginia remains positioned for continued economic growth and success.

https://lnkd.in/ey7kRSn8",https://www.linkedin.com/feed/update/urn:li:activity:7313659157289533441,04/03/2025,508,,3.0%,8.3%,1
"The tale of Virginia's economic future is written in stone – and Virginia Energy is decoding it! From food production to data centers, our geologic maps help industry professionals target critical mineral deposits, identify favorable land for development, and understand groundwater resources. #GIS #GISDAY #GISDAY2024

Explore our interactive map at https://tinyurl.com/gmrmap & download publications at https://tinyurl.com/gmrcat",https://www.linkedin.com/feed/update/urn:li:activity:7265021243928494081,11/20/2024,847,,5.5%,8.3%,1
"Virginia is planning, permitting, and building now to power the economy of tomorrow. The nations that lead in data centers and AI will be the ones that build energy capacity before it’s needed. AI will shape the next generation of jobs, industries, and innovation — keeping that infrastructure here at home is critical to our economic security and technological leadership.

https://lnkd.in/euRu3CDm",https://www.linkedin.com/feed/update/urn:li:activity:7362468353505927169,08/16/2025,1287,,7.1%,8.2%,1
"The tale of Virginia's economic future is written in stone – and Virginia Energy is decoding it! From food production to data centers, our geologic maps help industry professionals target critical mineral deposits, identify favorable land for development, and understand groundwater resources. 

Explore our interactive map at https://tinyurl.com/gmrmap & download publications at https://tinyurl.com/gmrcat",https://www.linkedin.com/feed/update/urn:li:activity:7301979766520188928,03/02/2025,775,,4.1%,8.1%,1
"Virginia relies on nuclear for 32% of its electricity and is working to expand its nuclear resources in order to increase energy reliability. As shown in the U.S. Department of Energy (DOE)'s report released this week, nuclear offers an unmatched combination of benefits. These include carbon-free electricity, firm power complementing renewables, low land-use, high-paying jobs, and economic benefits. Nuclear also aids in transitioning to a net-zero grid and enables decarbonization beyond electricity, including industrial heat applications.

More at: https://lnkd.in/gbnik7Uz",https://www.linkedin.com/feed/update/urn:li:activity:7247313646505144322,10/02/2024,2303,,3.9%,8.1%,1
"Charlottesville-based Sun Tribe is harnessing the Virginia sunshine and transforming former mining land in Wise County into a new solar farm installation! As part of Virginia's all-of-the-above energy strategy, renewables work alongside powerhouses like nuclear and natural gas to create a diversified, reliable, and secure energy grid. 

https://lnkd.in/diWRRB9E",https://www.linkedin.com/feed/update/urn:li:activity:7265454176371941377,11/21/2024,1029,,5.8%,8.1%,1
"Are you passionate about Human Resources and enjoy leading a dynamic team? Join our team at the #VirginiaEnergy! We're seeking a Human Resource Manager to oversee benefits, payroll, leave administration, and a variety of other HR functions. Join us to guide and support the agency’s dedicated staff!

Learn more and apply at https://lnkd.in/eJEcRNGi",https://www.linkedin.com/feed/update/urn:li:activity:7239724696491945986,09/11/2024,248,,6.9%,8.1%,1
"Virginia Energy geologists attended the Virginia Geological Field Conference this week, collaborating with peers, discussing the latest research, and how they can work together to solve geological challenges. 

Learn more about Virginia Energy's Geological team at https://lnkd.in/eZd8mzjg",https://www.linkedin.com/feed/update/urn:li:activity:7263174456372604928,11/15/2024,474,,5.9%,8.0%,1
"Nuclear provides clean, reliable energy, but it also providing high-paying, reliable jobs. Building Virginia's reliable, affordable, and increasingly clean energy future requires experts with a wide range of skillsets.
 
Learn more about Virginia's energy future at https://lnkd.in/d8FJcwa7",https://www.linkedin.com/feed/update/urn:li:activity:7265816324742803457,11/22/2024,465,,4.1%,8.0%,1
"Virginia Energy will be front and center at this year’s Virginia Energy Summit (co-hosted with the Virginia Manufacturers Association), engaging with top industry leaders, policymakers, and innovators shaping the future of energy in Virginia. Virginia Energy Director Glenn Davis will provide opening remarks and Deputy Director Julianne Szyper will moderate a discussion on Fission & the Future of Nuclear Energy with Mary Lou Dunzik-Gougar (Idaho State University) and Joshua Parker (BWXT Technologies).

Industry leaders from Dominion Energy, Commonwealth Fusion Systems, Shell Energy, Old Dominion Electric Cooperative (ODEC), Amazon Web Services (AWS), and many more will join in discussions the future of innovation, technology, and progress being made in Virginia's thriving energy sector.

Learn more and register to attend at https://lnkd.in/e2p_H-iN ",https://www.linkedin.com/feed/update/urn:li:activity:7336814136955207680,06/03/2025,3425,,5.8%,7.9%,1
"Congratulations to Virginia Energy's mine rescue team for an excellent performance at the 2025 Southeast Regional Mine Rescue Contest! Competing against 18 teams from across the country, our team placed 1st on day one of the contest, 2nd on day two, and was 2nd overall, showcasing their expertise and commitment to mine safety excellence!

Pictured left to right: Chris Whitt, Shannon Moore, Will Altizer, Danny Mullins, Anthony Sturgill, Dennis Honaker, Sidney Crabtree, & Joey Musick",https://www.linkedin.com/feed/update/urn:li:activity:7305936419653382146,03/13/2025,292,,3.4%,7.9%,1
"Do you have a passion for geology and hands-on fieldwork? This is your opportunity to contribute to vital geologic mapping projects in Virginia! If you have expertise in geologic field mapping, ArcGIS Pro, and more, this role at #VirginiaEnergy could be the perfect fit. Help us shape the future of Virginia's geological research and data management.

Learn more and apply at https://lnkd.in/e37dN_Xj",https://www.linkedin.com/feed/update/urn:li:activity:7237822776638672898,09/06/2024,464,,4.5%,7.8%,1
"A 203-acre former farm and mine in Wise County is being transformed into a hub for economic opportunity thanks to Virginia Energy's #AMLER program in partnership with the Virginia Coalfield Economic Development Authority. Phase 1 is now complete and included extending water, sewer, natural gas, and electricity infrastructure, which helped the site secure a Business Ready Certification through the Virginia Economic Development Partnership. Projects like these boost local economies, strengthen communities, and increase public safety across the Commonwealth. Office of Surface Mining Reclamation and Enforcement",https://www.linkedin.com/feed/update/urn:li:activity:7294792472797278208,02/10/2025,868,,4.5%,7.7%,1
"The Virginia Clean Energy Innovation Bank is paving the way for Virginia's #cleanenergy future through investments in cutting-edge solutions that strengthen our grid, lower emissions, and fuel economic growth. From hydrogen, to carbon capture, battery storage, SMRs, and beyond—if you’re working on clean energy technologies in Virginia, we want to hear from you! Explore how the energy bank can help advance your project at https://lnkd.in/eKtv2Axg",https://www.linkedin.com/feed/update/urn:li:activity:7303761423560507393,03/07/2025,366,171,3.8%,7.7%,1
"Exciting news for Virginia! Governor Glenn Youngkin, alongside Amazon Web Services (AWS), Dominion Energy, and X-energy, announced a groundbreaking partnership at Amazon HQ2 today. This collaboration aims to develop one of the first, if not the first, SMR in the nation!

https://lnkd.in/esPK_RBc",https://www.linkedin.com/feed/update/urn:li:activity:7252395086007660544,10/16/2024,615,,4.4%,7.6%,1
"Don't miss this new funding opportunity for local Virginia governments! Applications are due by midnight on December 6 for $1.6 million in block grant awards supporting a wide range of local energy efficiency and conservation projects, from community education programs to energy audits and retrofits of public buildings. 

Learn more at https://lnkd.in/ezm959X6 ",https://www.linkedin.com/feed/update/urn:li:activity:7265062665440444416,11/20/2024,801,,3.4%,7.6%,1
"New funding opportunity for local Virginia governments! Virginia Energy is now accepting applications for $1.6 million in block grant awards for a wide range of local energy efficiency and conservation projects, from community education programs to energy audits and and more! 

Learn more at: https://ow.ly/8urB50Vhznx 

Read Release: https://ow.ly/3G7Y50Vhzny

",https://www.linkedin.com/feed/update/urn:li:activity:7306023037043179522,03/13/2025,395,,4.6%,7.6%,1
"All spent nuclear fuel created in the US over the last 80 years could fit inside a single average-sized grocery store. Innovative technologies have the potential to recycle over 95% of that spent fuel, offering a nearly limitless source of clean, reliable energy to power future economic opportunity.

Learn more about how nuclear provides Virginia with over 30% of its electricity at https://lnkd.in/esRN-dEW",https://www.linkedin.com/feed/update/urn:li:activity:7326983152642441218,05/10/2025,435,331,5.1%,7.6%,1
"New #solar project from Adapture Renewables, Inc. will contribute 21,000MWh of clean energy to thousands of homes and businesses near #Charlottesville each year, while ""generating over $2MM in state and local taxes over the system’s lifetime and supporting over 150 local jobs during its development and construction phases."" Solar plays an important role in Virginia's all-of-the-above strategy for a reliable, affordable and increasingly clean energy future! 

https://ow.ly/IQ0f50UcTXr",https://www.linkedin.com/feed/update/urn:li:activity:7266178894838296576,11/23/2024,1427,,5.5%,7.6%,1
"Virginia Energy geologists are mapping rock formations with the potential for carbon sequestration, unlocking new economic opportunities across the Commonwealth. By identifying sites where CO? can be permanently stored, geologists like Catharine DeGolyer are paving the way for investment in advanced energy, sustainable development, and low-carbon manufacturing—helping industries cut emissions while driving growth.",https://www.linkedin.com/feed/update/urn:li:activity:7294732376541188097,02/10/2025,358,,1.7%,7.5%,1
"Virginia Tech researchers are exploring ways to extract #criticalminerals from coal waste, fly ash, and slag dumps, turning industrial byproducts into a domestic supply of manufacturing resources for batteries, renewables, and advanced energy systems. This research could reduce reliance on imports while driving innovation and economic opportunity in Virginia! #CriticalMinerals 

https://lnkd.in/eWz3aa6D
",https://www.linkedin.com/feed/update/urn:li:activity:7304510074150879232,03/09/2025,1088,,4.4%,7.5%,1
"Natural gas continues to be the US's most abundant source of reliable and affordable energy, according to data from the U.S. Energy Information Administration and the U.S. Department of Energy (DOE). As Virginia works to balance emissions goals with economic realities, natural gas will play an important role alongside nuclear, renewables, and other innovative technologies as part of an all-of-the-above strategy for Virginia's energy future.

Learn more at https://lnkd.in/ezNKgaXf",https://www.linkedin.com/feed/update/urn:li:activity:7289990893477003264,01/28/2025,719,,3.8%,7.5%,1
"“Nuclear power plants operate at much higher capacity factors than renewable energy sources or fossil fuels. Capacity factor is a measure of what percentage of the time a power plant actually produces energy. It’s a problem for all intermittent energy sources. The sun doesn’t always shine, nor the wind always blow, nor water always fall through the turbines of a dam.“

Learn more: https://ow.ly/L2JQ50V4BER",https://www.linkedin.com/feed/update/urn:li:activity:7300153084268232705,02/25/2025,773,,2.6%,7.5%,1
"Exciting news for #SWVA! Investments in #energy #innovation will help create new job opportunities and stimulate economic growth in a region historically dependent on traditional energy sectors. Funding applications are due by Jan 31, 2025. Learn more at https://ow.ly/3U4s50Ulgos",https://www.linkedin.com/feed/update/urn:li:activity:7270504778755932161,12/05/2024,360,,2.5%,7.5%,1
"Exciting news for Buchanan County! A $1.2M Virginia Energy AMLER grant will fund expanded water service and telecom fiber near Grundy, supporting the future Breaks Regional Airport and commercial development project. This infrastructure boost promises new opportunities and economic growth for the coalfields region. Learn More Here: https://ow.ly/xUPL50TEvQe

Pictured L to R at today's check presentation:

Tyler Lester, Senator Todd Pillion’s Office, Billie Campbell, TerraTech Engineering, Tom Lester, Delegate Will Morefield’s Office, U.S. Congressman Morgan Griffith, Daniel Kestner, Virginia Energy, James Keen, Breaks Regional Airport Authority, Lesa Baker, Virginia Energy, Randy Moore, Virginia Energy, Matt Fields, Buchanan County IDA, J.P. Richardson, Wellmore Coal Company, Jonathan Belcher, VCEDA
Office of Surface Mining Reclamation and Enforcement, Metinvest",https://www.linkedin.com/feed/update/urn:li:activity:7248036912316170240,10/04/2024,803,,5.2%,7.5%,1
"Virginia Energy is in search of a Geologist that will be responsible for producing geologic maps and reports that support planning and construction projects, economic development, and the mitigation of geologic and environmental hazards. The selected candidate will conduct grant-funded investigations that support public safety by investigating landslide hazards using field and remote data collection techniques.

Learn more and apply at https://lnkd.in/etSux_J4 ",https://www.linkedin.com/feed/update/urn:li:activity:7324780043648331776,05/04/2025,1487,,4.7%,7.5%,1
"From carbon capture to mine safety, methane reduction, and clean energy financing for hydrogen hubs—Virginia Energy is driving opportunity statewide.

? $79M+ for coal mine methane capture
? $11M to revitalize abandoned mine lands
? Energy efficiency, safety, and workforce grants
? Grid reliability and hydrogen industry programs

And much more!

Explore our active grants and programs at: https://lnkd.in/erHpmJUT

",https://www.linkedin.com/feed/update/urn:li:activity:7361743625380057090,08/14/2025,485,,3.7%,7.4%,1
"Did you know that the vast majority of #coal mined in Virginia is NOT used for energy production? Instead, Virginia coal plays a critical role in a wide variety of manufacturing processes such as global #steel production. From roads and bridges, to homes and hospitals - the strength and durability of our modern infrastructure is thanks in-part to Virginia's coal mining efforts. #metcoal

Learn more at https://ow.ly/6WYR50UCQRP",https://www.linkedin.com/feed/update/urn:li:activity:7299443082763120640,02/23/2025,517,,2.3%,7.4%,1
"By the end of 2023, the pioneering minds at Dominion Energy  upgraded 800 miles of 230 kV power lines with advance conductors, boosting capacity by 50%! At Virginia Energy, we're excited to see this type of innovative grid enhancing technology (GET) pushing Virginia forward. Our Clean Energy Innovation Bank aims to support and encourage such innovative solutions across the Commonwealth, ensuring a more resilient and efficient energy future! 

Learn more at https://lnkd.in/eKtv2Axg",https://www.linkedin.com/feed/update/urn:li:activity:7265363776437211137,11/21/2024,2004,,2.9%,7.3%,1
"""Fusion energy"" is a phrase you're going to start hearing much more often. With Virginia being the first in the world to deploy a fusion power plant, this short video from Princeton University will help you understand what fusion power is, how it works, and what it means for the future of clean energy worldwide. https://lnkd.in/e72bBe3P
#nuclear #fusion #energy #innovation #cleanenergy
",https://www.linkedin.com/feed/update/urn:li:activity:7276657925719293953,12/22/2024,658,,3.6%,7.3%,1
"""Wind is great. Solar is great, but when the wind is not blowing and the sun is not shining, something's got to turn those lights on.""
- Virginia Energy Director Glenn Davis joined representatives from Dominion Energy, Loudoun County government, and the U.S. Chamber of Commerce at a Loudoun Chamber of Commerce forum earlier this week to discuss solutions to the state of energy in Virginia.

Read more at https://lnkd.in/erRMAFqP",https://www.linkedin.com/feed/update/urn:li:activity:7258568739112075264,11/02/2024,812,,4.1%,7.3%,1
"Over the next year, airborne geophysical surveys across Virginia will enhance our understanding of critical minerals, groundwater resources, natural hazards like earthquakes and radon, and legacy mining areas. These surveys will use low-flying planes and helicopters to measure variations in the Earth’s magnetic field and natural radiation from rock layers, even miles below the surface. This data will improve 3D geologic maps, supporting essential research and resource management.

The results will contribute to new geologic maps by Virginia Energy’s Geology and Mineral Resources Program. https://lnkd.in/eQn4QuKB",https://www.linkedin.com/feed/update/urn:li:activity:7302327315135385600,03/03/2025,1212,,3.6%,7.3%,1
"Metallurgical coal accounts for approximately 80% of Virginia total coal production, and is used in advanced manufacturing process to create some of the worlds most transformative products.",https://www.linkedin.com/feed/update/urn:li:activity:7255217074015285248,10/24/2024,276,,4.0%,7.2%,1
"Did you know all of the spent nuclear fuel ever produced in the US could fit inside a single standard grocery store? Check out this US Department of Energy [tag] infographic for 5 more things you might not know about spent fuel! 

Learn more about nuclear energy in Virginia https://lnkd.in/esRN-dEW",https://www.linkedin.com/feed/update/urn:li:activity:7276276490051235840,12/13/2024,704,,5.0%,7.2%,1
"Virginia is poised to make history as the home of the world's first commercial fusion power plant, with Commonwealth Fusion Systems (CFS) breaking ground in Chesterfield County. This landmark project puts the Commonwealth at the forefront of fusion energy—a technology set to transform the global energy landscape by offering the cheapest, most reliable, and cleanest power source ever developed. 

https://lnkd.in/gwDZi82S",https://www.linkedin.com/feed/update/urn:li:activity:7298688182525587458,02/21/2025,1436,,3.3%,7.2%,1
"Spent nuclear fuel's radioactivity decreases significantly faster than many realize. State of the art storage facilities and the prospect of advanced recycling technologies further reduce long-term waste concerns. As Virginia pursues reliable, affordable, and increasingly clean energy future, understanding the facts about nuclear energy's true impact helps us make informed decisions for a sustainable tomorrow. 

https://ow.ly/qsKC50UrUFi",https://www.linkedin.com/feed/update/urn:li:activity:7274458373570416640,12/16/2024,512,,3.1%,7.2%,1
"We're seeking a Public Relations Manager that will highlight the essential work of agency staff through diverse education and outreach channels, including events and media engagement. The incumbent will handle marketing events, media relations, agency presentations, FOIA requests, records management, and other public relations duties and responsibilities as needed.

Learn more and apply at https://lnkd.in/eM8cVyra
",https://www.linkedin.com/feed/update/urn:li:activity:7355643458390302720,07/28/2025,544,,5.5%,7.2%,1
"Virginia’s data centers are increasingly investing in innovative clean energy solutions and advanced technologies to meet their growing energy demands. With improvements in cooling, power management, and large-scale clean energy purchases, data centers can support both their operational needs and sustainability efforts, while providing economic opportunities across the Commonwealth.",https://www.linkedin.com/feed/update/urn:li:activity:7292164935994781696,02/02/2025,307,,2.3%,7.2%,1
"Today, we honor and remember the brave men and women who made the ultimate sacrifice for our freedom. Their courage and dedication inspire us every day.

Virginia Energy wishes everyone a meaningful Memorial Day.",https://www.linkedin.com/feed/update/urn:li:activity:7332738081365676032,05/26/2025,252,,3.6%,7.1%,1
"A wide range of medical products rely on Virginia coal for its filtration and purification properties. Approximately 75% of the coal produced in Virginia is metallurgical coal, which is a critical component in manufacturing processes around the world and isn't burned to produce electricity.",https://www.linkedin.com/feed/update/urn:li:activity:7248074662855720960,10/04/2024,352,,3.4%,7.1%,1
"Virginia made headlines around the world this year as it announced the dawn of a new era for clean, reliable energy. #energywrapped #fusionenergy #innovation",https://www.linkedin.com/feed/update/urn:li:activity:7279514124219285504,12/30/2024,467,,2.4%,7.1%,1
"“What’s driving the governor’s interest is jobs, businesses, and an improved quality of life. We’re excited because the opportunity for growth there is larger than any other in the state.” - Virginia Energy Director Glenn Davis. Virginia is positioning itself to support data centers with 100% clean energy, helping to balance stresses on the grid at a time of rapid economic expansion. 

More at: https://lnkd.in/eCZihsX9",https://www.linkedin.com/feed/update/urn:li:activity:7239362448351264768,09/10/2024,1364,,4.3%,7.0%,1
"#VirginiaEnergy's rock and core sample data provides critical insights on groundwater resources, mineral deposits, soil stability, and natural hazard risks like sinkholes. Explore the resources helping industry professionals build a safer and more sustainable Virginia at https://lnkd.in/emguYzwN",https://www.linkedin.com/feed/update/urn:li:activity:7241566938206777344,09/16/2024,757,,3.8%,7.0%,1
"Every major energy authority—PJM, Dominion, Virginia Energy—agrees that we cannot meet future energy demand with renewables alone. Dispatchable natural gas and baseload nuclear are critical for ensuring that our economy continues to have the reliable energy it needs to thrive. This isn’t just a Virginia challenge, or even a regional one. Grids across the nation must evolve to match the scale and speed of 21st-century demand. We can do this!
",https://www.linkedin.com/feed/update/urn:li:activity:7344726554687553536,06/28/2025,3891,,4.9%,7.0%,1
"Virginia Energy geologists are a cornerstone for prosperity in Virginia, providing communities and businesses with valuable resources that improve safety and encourage economic growth! #energywrapped #wrapped2024 #geology

Explore our current projects: https://lnkd.in/efNY9hUe",https://www.linkedin.com/feed/update/urn:li:activity:7278786938143223808,12/28/2024,301,,4.3%,7.0%,1
"Behind every dollar is a project powering Virginia’s future—from energy security and innovation to economic growth and community impact, we're making strategic investments that yield real results for communities across the Commonwealth.

Explore more 2025 successes in our midyear impact report: 
https://shr.link/emahf",https://www.linkedin.com/feed/update/urn:li:activity:7353498214416666624,07/22/2025,517,,4.3%,7.0%,1
"Virginia is expanding efforts to support high-precision mineral exploration that helps secure supply chains, accelerates domestic manufacturing, and lays the groundwork for a resource-rich future.

Explore more 2025 successes in our midyear impact report: https://lnkd.in/eSjew43k

#criticalminerals #coastalresilience #geology #mapping
",https://www.linkedin.com/feed/update/urn:li:activity:7356292679107760129,07/30/2025,316,,5.1%,7.0%,1
"Virginia Energy is doing more than ever before to strengthen Virginia's economy, safeguard our environment, support mining operations, and ensure a reliable, affordable, and increasingly clean energy future for all Virginians. #energywrapped #wrapped2024",https://www.linkedin.com/feed/update/urn:li:activity:7276220018604797952,12/21/2024,807,,3.6%,6.9%,1
"According to a new Gallup poll, preferences for how we solve the nation's energy problems have evolved, with an emphasis on alternative energy dropping to its lowest level since 2011. It's a reminder that while renewables are important, a growing number of Americans support a more balanced approach. Virginia's all-of-the-above strategy—including natural gas, nuclear, and renewables—ensures we can meet demand, keep costs low, and cut emissions without putting reliability at risk.

Full Gallup report at https://lnkd.in/edf_4NPS",https://www.linkedin.com/feed/update/urn:li:activity:7318257227822190593,04/16/2025,765,,5.1%,6.9%,1
"With investments in nuclear, natural gas, and groundbreaking projects like the world's first commercial fusion power plant, Virginia is poised to lead the nation in innovative energy solutions that will power our growing economy. Energy demand is rapidly increasing alongside Virginia's growing population and thriving manufacturing and technology sectors. Innovation, flexibility, and more reliable and robust power generation will be needed to support the demands of our growing Commonwealth.  

Learn about Virginia's energy future at energy.virginia.gov",https://www.linkedin.com/feed/update/urn:li:activity:7290836421328736258,01/30/2025,782,,4.1%,6.9%,1
"Nuclear power offers a unique value proposition for Virginia's reliable, affordable, and increasingly clean energy future—providing firm, carbon-free electricity that complements renewables with low land use, reduced transmission needs, economic benefits, and versatile applications for grid flexibility and industrial decarbonization.",https://www.linkedin.com/feed/update/urn:li:activity:7284917540370219009,01/14/2025,762,,3.3%,6.8%,1
"#FusionEnergy power plants and nuclear fission reactors produce tremendous amounts of energy in very different ways, but both play a critical role in Virginia's reliable, affordable, and increasingly clean energy future. Here's a quick video from the US Department of Energy explaining the difference between the two. https://lnkd.in/eUanxwfX",https://www.linkedin.com/feed/update/urn:li:activity:7294007270923751425,02/08/2025,865,731,4.2%,6.8%,1
"Nuclear energy is clean, safe, reliable — everything you could ask for in a good neighbor. As Virginia looks to meet growing energy demand, reduce its reliance on energy imports, and improve grid stability, nuclear will be a key partner in ensuring a cleaner, more secure future for our Commonwealth.

Read more at https://lnkd.in/gxGuN32m",https://www.linkedin.com/feed/update/urn:li:activity:7291440410701295616,02/01/2025,546,,3.5%,6.8%,1
"Congratulations to Virginia Tech for its award from the U.S. Department of Energy (DOE)  to fund improvements to the processing and manufacturing of critical materials. Domestic production of these resources is critical for increasing our energy independence and shoring up energy security, a key priority of Virginia's all-of-the-above strategy for a reliable, affordable, and increasingly clean energy future. 

https://lnkd.in/e8iiB_aD",https://www.linkedin.com/feed/update/urn:li:activity:7274045669743509504,12/15/2024,1094,,4.4%,6.8%,1
